Mark Haddon, The Curious Incident of the Dog in the Night-Time|... why I like timetables, because they make sure I don't get lost in time.
Daniel Hays, On Whale Island: Notes from a Place I Never Meant to Leave|When I sit up I am greeted by the world. Level with the treetops I look down on sparrows swooping in and out of the branches. The tide, the new rising moon, the clouds, the wind - these greet me. These are my allies. The whole planet is laid out before me and available for whatever adventure the day will take me on. By comparison, living in society seems to require an alarm clock. Primarily assembled from angst and fish anuses, these contraptions, regardless of your soul's whereabouts, will slap and assault you into a pitiful state of what passes for consciousness. Your first sight is the Time, an arragement of molecules on the clock's face to whom you will be enslaved for the rest of the day. You may as well call him "master." Next, a pile of dirty clothes on the floor, a knocked-over glass of water, and so forth, until you are so overwhelmed with despair that to prevent hurling yourself through the window, you must ignore your personal bill of rights, put on an acceptable frown, and go about your business, disregarding the pleas from you increasingly timid soul.
Sarah Ash|The dusty tombs of long-dead exorcist priests lay in the alcoves below, surmounted by stone effigies, the features eroded by the passing of time and the reverent caresses of their grateful parishioners, a reminder, she knew all too well, of the brevity of life.
Chico Kidd, The Printer's Devil|Still men be clever and in an hundred centuries or more, perchance will have found a way to journey thither; when that they have discovered and understood all things on the earth. What will a man be like in the xxvii century, or even the xx? Very like unto us, I do expect; I do not think that man’s nature shall change; nor do I anticipate that he will be the wiser than we, for all his learning, for ‘tis a part of that nature which is ours that we do not heed the lessons of history: neither our own, nor the world’s.
Mitch Albom, Tuesdays with Morrie|After the funeral, my life changed. I felt as if time were suddenly precious, water going down an open drain, and I could not move quickly enough. No more playing music at half-empty night clubs. No more writing songs in my apartment, songs that no one would hear.
William J. Reilly, How to Avoid Work|Without Time nothing is possible. Everything requires Time. Time is the only permanent and absolute ruler in the universe. But she is a scrupulously fair ruler. She treats every living person exactly alike every day. No matter how much of the world's goods you have managed to accumulate, you cannot successfully plead for a single moment more than the pauper receives without every asking for it. Time is the one great leveler. Everyone has the same amount to spend every day.
J.M. Coetzee, Disgrace|In a minute, in an hour, it will be too late; whatever is happening to her will be set in stone, will belong to the past. But now is not too late. Now he must do something
Anthony Bloom, Beginning to Pray|There is absolutely no need to run after time to catch it. It does not run away from us, it runs towards us. Whether you are intent on the next minute coming your way, or whether you are completely unaware of it, it will come your way. The future, whatever you do about it, will become thepresent, and so there is no need to try to jump out of the present into the future. We can simply wait for it to be there, and in that respect we can … be completely stable [still] and yet move in time, because it is time that moves. You know the situation when you are in a car or on a train and you sit back, if you are not driving, and you look out of the window; you can read, you can think you can relax, and yet the train moves, and at a certain moment, what was the future, whether it is the next station or the last station to which you are going, will be present.
Virginia Woolf, How Should One Read a Book?|Are they not criminals, books that have wasted our time and sympathy; are they not the most insidious enemies of society, corrupters, defilers, the writers of false books, faked books, books that fill the air with decay and disease?
Philip K. Dick, The Exegesis of Philip K. Dick|Retrograde time is forward time which has passed the turning point; then as it turns back it is freighted with the load of accumulated knowledge. It is information rich. Logically, then, in its retrograde tracking, it would divest itself of its knowledge: teach rather than learn, so that when it arrived at the other end, it would be information poor, even info empty.
Joan D. Vinge, The Snow Queen|[S]omehow, without his being aware of it, time had coated his awe with a rind of disillusionment, and the wine of wonder had turned to vinegar.
