Catherine Deneuve|People who know me know I'm strong, but I'm vulnerable.
Napoléon Bonaparte|As for moral courage, it is very rare, he said, to find that kind found at 2 o'clock in the morning; that is to say, courage in the face of the unexpected.
Joud Tabaza, No, I Want To Do This|The next time the world tells you “Stop”, “Don’t”, or “You can’t do this”, the next time the world beats the living daylight out of you, hit it back with a knock just as strong and say, “No, I want to do this.
Caitlín R. Kiernan|Dancy closes her eyes, remembering all the times that have been so much worse than this, all the horror and shame and sorrow to give her strength. The burning parts of her no one and nothing can ever touch, the fire where her soul used to be.
Simon Van Booy, The Secret Lives of People in Love|When a person is loved, they are granted the strength of all seas.
Julius Lester|Its hardness and solidity had been an odd kind of comfort. Do not wish for anything. Be and endure. The Old African had learned that enduring was power too, and just as he had been drawn to the boulder, so the slaves, after a while, were drawn to him.
Madalyn Beck, Dragon Hearts & Dandelion Fuzz|You can try to dirty my name, but I'll wear your hate like war paint.
Jack Handy|If you think a weakness can be turned into a strength, I hate to tell you this, but that's another weakness.
Donna Lynn Hope|He studied the woman before him, not as lovely as she once was, ordinary in appearance, scarred by living, abandoned by many, breathtakingly to be near and altogether unforgettable. "I have no friends," she spoke forth hauntingly. "I am alone." He couldn't believe it. But then he could for the rare creature near enough to touch was out of their league. She wasn't envied for the shallowness of appearance or the superficiality of status or possessions; she was envied for being uncommon and for possessing indomitable strength, something only a lifetime of suffering could shape.
Sarah Brownlee|Anyone who crawls up from the gutter and makes something of themselves, despite the odds and despite others who tried to keep them down, must always be very proud of their achievements. They must never forget the struggles they went through, because they are a living example to those who wander in darkness, a staunch reminder that light is within reach if they can find the strength and determination to keep going.
Elizabeth Gaskell, Ruth|Miss Benson had the power; which some people have, of carrying her wishes through to fulfillment; her will was strong, her sense was excellent, and people yielded to her – they did not know why.
Tara K. Harper, Wolfwalker|The strength to go on must come from within, not without, or it crushes instead of building up the heart.
Mark Matousek, When You're Falling, Dive: Lessons in the Art of Living|As one widow put it to me, “Strength doesn’t mean being able to stand up to anything, but being able to crawl on your belly a long, long time before you can stand up again.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Life has pounded me downand thrashed me around,Time and time again,But I always get right back up,Because I still love life -Just as the earth still lovesThe rain.
George R.R. Martin, A Knight of the Seven Kingdoms|Strength to your arm, then.
Dennis Sharpe|To one degree or another we all fight against preconceptions nearly every day. The wisest people I know don't compare their fight to that of others. Everything is relative through the lens of personal struggle.Heroes come in all shapes and sizes... mine are often those who are fighting their fight in public. Unashamed. Proud. An example.Heroes aren't perfect. They have faults and flaws. They stumble from time to time. They are heroes, though, because they correct themselves... and set an example, intended or not, for the world observing them... even, and especially, to those who would love nothing more than to see them fail.Stay Strong!
Lailah Gifty Akita|If you accept the situation, you will find strength for strategic adaptation.
Nina Lane, Awaken|Trust your instincts, follow your bliss, make plans, work hard, learn to let things go. Don’t be late. Remember that fortune favors the brave. Live. If you need to run, try and run towardsomething. Study for tests. Laugh at silly cartoons. Be organized. If you fall seven times,get up eight. Always carry an extra pen. Believe you can do everything. Find your key.
Lailah Gifty Akita|If you focus on the ultimate goal, you will find strength to overcome the hurdles on the path to success
Nina Lane, Awaken|Trust your instincts, follow your bliss, make plans, work hard, learn to let things go. Don’t be late. Remember that fortune favors the brave. Live. If you need to run, try and run toward something. Study for tests. Laugh at silly cartoons. Be organized. If you fall seven times, get up eight. Always carry an extra pen. Believe you can do everything. Find your key.
