Unknown Author 365|If you actually want something and are really passionate about it, you will get it no matter what.
Shannon L. Alder|If you don't make a conscious effort to visualize, who you are and what you want to become in life, then you empower other people and circumstances to shape your journey by default. Your silence makes you reactive vs. proactive. God will bring people in your life that can take you on many different journeys that will bring about different outcomes to your life mission. However, if you are not proactive and define your dreams you will never know where “you” need to be and who needs to be with you to fulfill what God is asking you to do. Your life is your own. You must define your dreams, not live someone else’s vision of a good life. What is it that God is asking you to do with the talents and hobbies you enjoy? What were you blessed with a desire for? A good life is one spent in the service of helping others. Find a life partner that will help you reach God’s highest potential—service to humanity, service to his Kingdom, service to building others up. Also, begin any choice with the end in mind. This means to begin each day with a clear vision of your desired direction. It is not enough to live a passive life of religious devotion. God asked you to do more than worship. He has called you to serve, not to be a servant to other people’s dreams. You and only you know where your heart must travel. God brings you storms in life to wake you up. Don’t see it as his disappointment, but as his parental love for you. Life was not meant to stay the same. If someone truly loves you they will never take you away from God’s plan, they will only magnify it.
Stasi Eldredge, Becoming Myself: Embracing God's Dream of You|Fear is a wet blanket that smothers the fiery passion God deposited in your heart when he formed you. Fear freezes us into inaction. Frozen ideas, frozen souls, frozen bodies can't move, can't dream, can't risk, can't love, and can't live. Fear chains us.
Kristen Callihan, Firelight|The whole of my life I have relied on my beauty first, brains second. It was expected, even requested. But You saw right through me from the start. You are the only man I've ever known who has looked beyond my face and wanted to know me for me. And I find myself wanting you to know the whole me.
Sophie Scholl|It’s the reductionist approach to life: if you keep it small, you’ll keep it under control. If you don’t make any noise, the bogeyman won’t find you. But it’s all an illusion, because they die too, those people who roll up their spirits into tiny little balls so as to be safe. Safe?! From what? Life is always on the edge of death; narrow streets lead to the same place as wide avenues, and a little candle burns itself out just like a flaming torch does. I choose my own way to burn.
Denis Diderot|Only passions, great passions, can elevate the soul to great things.
Erwin Raphael McManus, Chasing Daylight: Seize the Power of Every Moment|When we are passionate about God, we can trust our passions.
Lynsay Sands, Love Is Blind|Because he is good and kind,” she explained softly, then went on. “Because he treats me like a princess. Because he makes me laugh. Because he makes me happy. Because he took the trouble to read to me when I could not read to myself. Because he fed me and gave me wine when I could not eat or drink at balls. Because when he kisses me my toes curl, and when he makes love to me I cannot contain my passion.
Alex Rosa, Emotionally Compromised|Every time his lips meet mine, my whole body begins a slow tingle that starts from within in my chest, and spreads like a wildfire.
Daniela Sacerdoti, Take Me Home|Beside her I felt grey, like she had all the colours I'd ever need.
Gena Showalter, Wicked Nights|But you will trust me again, Annabelle. You will want me again, and we will be together. I will behave. You'll see. - Zacharel
Kristen Callihan, Firelight|You know, it's never wise to tempt the devil"His gaze lowered to her hand, still locked in his grip, her finger glistening with pear juice.His rich voice lowered to raw huskiness "had I not this mask, I should be of a mind to suck that juice right off your fingers
Kristen Callihan, Firelight|There were lies, and there were lies. Was a secret a lie? If one wanted to protect another?
Diego Rivera, My Art, My Life|Looking back upon my work today, I think the best I have done grew out of things deeply felt, the worst from a pride in mere talent.
Kristen Callihan, Firelight|He couldn't remember the last time human hands had willingly touched him. Not true. Miranda had. She had touched him as if he were just a man.  He had lived on those moments ever since, pulled them to the fore when loneliness threatened to suck him down and drown him
Vinod Pande|Was it a moment of indecision or was it a moment of redemption. Redemption long overdue and long unacknowledged? They didn’t know. He suddenly went at her mouth and she claimed it as if it was never supposed to be elsewhere. It was stormy. It was fierce. His manhood shafted through his loose night pajamas challenging her even beyond the thickness of her bath robe, which was cast aside in one unsparing sweep of his hand, revealing the quavering ripeness of her fulsome breasts. After a moment of awe, he went at them with unquenched ferocity.First he devoured her there itself, against the wall, on the carpet. Within moments their frenzied hands tore away each other’s underpants with unapologetic fury and then in one smooth motion of a dancer’s lucidity, he lifted her and like a great performer of an opera, placed her on the bed. The inviting altar of desire and passion and longing. Now as they claimed each other, there was unhurried fluidity in their motion. Tears of pain and love in their eyes. Ecstasy of carnal compatibility in their fusion. Symphony of sensuality in their strokes and when he finally exploded inside her, she had gone aflame with matching uncontrollability. It was a heavenly union which in one go had robbed them of their beings, their earth, their universe, their past, their present, their future. In one instant, they had undone what was done and had done what was ‘not done’.
