ETC Wanyanwu|I walk, talk and act like a king even though I know there's no royalty in my bloodline
Richard Feynman|You can know the name of a bird in all the languages of the world, but when you're finished, you'll know absolutely nothing whatever about the bird... So let's look at the bird and see what it's doing -- that's what counts.
Mark Twain, The Prince and the Pauper|When I am king they shall not have bread and shelter only, but also teachings out of books, for a full belly is little worth where the mind is starved.
Jacques Barzun|Teaching is not a lost art, but the regard for it is a lost tradition.
George Washington|A primary object should be the education of our youth in the science of government. In a republic, what species of knowledge can be equally important? And what duty more pressing than communicating it to those who are to be the future guardians of the liberties of the country?
Thomas Jefferson, Letters of Thomas Jefferson|I know no safe depository of the ultimate powers of the society but the people themselves ; and if we think them not enlightened enough to exercise their control with a wholesome discretion, the remedy is not to take it from them, but to inform their discretion by education. This is the true corrective of abuses of constitutional power.
Peter S. Jennison|Children deprived of words become school dropouts; dropouts deprived of hope behave delinquently. Amateur censors blame delinquency on reading immoral books and magazines, when in fact, the inability to read anything is the basic trouble.
Chris Hedges, Empire of Illusion: The End of Literacy and the Triumph of Spectacle|We’ve bought into the idea that education is about training and “success”, defined monetarily, rather than learning to think critically and to challenge. We should not forget that the true purpose of education is to make minds, not careers. A culture that does not grasp the vital interplay between morality and power, which mistakes management techniques for wisdom, which fails to understand that the measure of a civilization is its compassion, not its speed or ability to consume, condemns itself to death.
Ron Paul|Under the United States Constitution, the federal government has no authority to hold states "accountable" for their education performance...In the free society envisioned by the founders, schools are held accountable to parents, not federal bureaucrats.
John Taylor Gatto|When you take the free will out of education, that turns it into schooling.
Jean Piaget|The principle goal of education in the schools should be creating men and women who are capable of doing new things, not simply repeating what other generations have done; men and women who are creative, inventive and discoverers, who can be critical and verify, and not accept, everything they are offered.
Laurie Halse Anderson, Speak|Why not spend that time on art: painting, sculpting, charcoal, pastel, oils? Are words or numbers more important than images? Who decides this? Does algebra move you to tears? Can plural possessives express the feelings in your heart? If you don't learn art now, you will never learn to breathe!
