Genereux Philip|GOD IS MY PROVIDER I BRAG DIFFERENT, THROUGH HIM ALL THINGS ARE POSSIBLE.
Peprah Boasiako|If your actions don't excite, motivate or inspire others to do better, you're doing it wrong.
James Hauenstein|Sitting there, it is impossible to change your luck. But, you can always change the machine you are at!
Anurag Shourie|Be it a 'slide' in a children’s park, or one in the play-fields of life; the mantra is same. “You climb up and you slide down.”What is missing in the later years is the enthusiasm with which the kids run up the steps, knowing fully well that another down-slide is imminent. Life is a game; play it with gay abundance. Take a leaf out of the kid’s rule-book…
D. Allen Miller, Scarlet Tears|In life, we must choose to quiet ourselves and go through a period of reflection, an instance in time for evaluating our strengths vs. our weaknesses, an interval in time for recognizing the real from deceit, a moment in time for making necessary life adjustments for personal welfare. It's through such, we begin to know ourselves.
Peprah Boasiako|Embracing change can be daunting, but it is our willingness to do better that makes it worthwhile.
Peprah Boasiako|Loyalty to others speaks volumes about loyalty to self. To love others, one must truly love him/herself first.
H.G. Wells, The Island of Dr. Moreau|...and spend my days surrounded by wise books, - bright windows in this life of ours, lit by the shining souls of men.
Levon Peter Poe|All things we involve ourselves with should be of love. If it is not of love, stay away from it.
Meeta Ahluwalia|Somewhere along the length of time, while we are busy numbering our days, we forget to make them count.
Curtis Tyrone Jones|You see yourself as a shipwreck, but we see your treasure glowing inside, beneath the oceans in your eyes.
Mihaly Csikszentmihalyi, Creativity: Flow and the Psychology of Discovery and Invention|Try to be surprised by something every day. It could be something you see, hear, or read about. Stop to look at the unusual car parked at the curb, taste the new item on the cafeteria menu, actually listen to your colleague at the office. How is this different from other similar cars, dishes or conversations? What is its essence? Don't assume that you already know what these things are all about, or that even if you knew them, they wouldn't matter anyway. Experience this once thing for what it is, not what you think it is. Be open to what the world is telling you. Life is nothing more than a stream of experiences - the more widely and deeply you swim in it, the richer your life will be.
Glenn C. Stewart|Peace doesn’t deny difficulty, but it has an inner calm and quietness even while enduring the difficulty.
Avijeet Das|There is a harbour to be reached, after the storm has abated!
Jennifer Donnelly, Beauty and the Beast: Lost in a Book|An escape can become escapism before we even know it. Books are wonderful things, but you can't live in someone else's story. You have to live your own story.
M. Reed McCall, Moose Tracks on the Road to Heaven|Don’t spend too much time grieving for me, Elena. I know you’re probably a little sad as you’re reading this, since that means I’m dead and you’re having to learn how to go on in a new way. I would be sad if you didn’t miss me, so I won’t tell you not to, but I will tell you to keep on living. The world is full of beautiful music, flowers, places, and experiences. Enjoy it all as much as you can. Just remember it’s the people in your life that make it worthwhile...People and memories, not things are what’s important in the end. Nothing else matters as much as that.
Salman Rushdie, Midnight's Children|Tai tapped his left nostril. 'You know what this is, Nakkoo? It's the place where the outside world meets the world inside you.
Neetesh Dixit|They say that "A friend in need is a friend indeed" but what if you don't find one when you need one.
Dr. Jacinta Mpalyenkana, Ph.D, MBA|As you run towards your desired destination, if you turn to look behind and see no one running with you, keep running: because it's evident that you have no competition and therefore, you are destined to get to that destination.
Ruta Sepetys, Between Shades of Gray|They were happy to help someone, to succeed at something, even if they weren't to benefit.
Brittany Burgunder|Forgiving yourself, believing in yourself and choosing to love yourself are the best gifts one could receive.
Germany Kent|The point at which things happen is a decision. In stead of focusing on yourself, focus on how you can help someone else.
Sapan Saxena, Unns-The Captivation|Sometimes, it’s worth living the dreams, tasks, hopes or ambitions of the people you love, however unjustifiable or stupid they may sound. Sometimes, it’s worth completing what they stood up for. That is the best gift you can give to the people you love.
Dr. Jacinta Mpalyenkana|Don't let what you fear stop you from pursuing it. For the most part, what you fear doesn't even know that you are afraid of it.
Germany Kent|Speak with caution. Even if someone forgives harsh words you've spoken, they may be too hurt to ever forget them. Don't leave a legacy of pain and regret of things you never should have said.
Akash Lakhotia, World Hypnotized: Making of the Fuhrer|They say, in life change is the most important thing for you to evolve.I think it's the pain which makes a person evolve, A species evolve.Time will throw a thousand happy moments, which will teach you nothing. Real sense of life is understood when you go through that one painful moment.Which will help you evolve, which will help you change.
