|When there is no presence of self-love, the hunger for attention tends to take over one's mind
Kierra C.T. Banks|A woman should always know her place, and it's exactly wherever she wants to be.
Jewel, Never Broken: Songs Are Only Half the Story|Being idolized and being torn down felt oddly similar. They both made me feel alone.Friendship and trust should be earned, and when you're famous, people seem to want to give them to you whether you've earned them or not, and it felt dishonest to me. Fame was not real. It was all a projection—fame made me a blank canvas that people projected their love, lust, troubles, self-worth, and desire upon. Fame and power do not change us, they amplify us.
Joy Kogawa, Obasan|Some people," Aunt Emily answered sharply, "are so busy seeing all sides of every issue that they neutralize concern and prevent necessary action. There's no strength in seeing all sides unless you can act where real measurable injustice exists. A lot of academic talk just immobilizes the oppressed and maintains oppressors in their positions of power.
Lionel Suggs|Power is the gem of necessity. Without observing power, identity remains undiscovered.
John Vasconcellos|From those to whom privilege and opportunity are given, we have the right to expect much.
Frank Herbert, Dune Messiah|Deceit is a tool of statecraft," Irulan agreed."There are limits to power, as those who put their hopes in a constitution always discover," Paul said.
Thomm Quackenbush, Flies to Wanton Boys|In the beginning, there was nothing. Then, out of the nothing came the Word and the Word was power. Every utterance of the Word gave form to the Void, starting with beings to utter the Word. There was no Adam, no Eve, and no need. What Man named was.
Richard Bryant-Jefferies, Counselling a Survivor of Child Sexual Abuse: A Person-Centred Dialogue|In a world where we seem to be beset by a trend towards 'manualising treatment modalities' the person-centred approach stands and says NO, that is not the way forward.
Mary  Stewart, The Last Enchantment|It is easier to call the storm from the empty sky than to manipulate the heart of a man; and soon, if my bones did not lie to me, I should be needing all the power I could muster, to pit against a woman; and this is harder to do than anything concerning men, as air is harder to see than a mountain.
Jeanne DuPrau, The City of Ember|What was the power that turned the worm into a moth? It was greater than any power the Builders had had, he was sure of that. The power that ran the city of Ember was feeble by comparison...
Richard H. Shultz Jr.|Superior might does not guarantee success, especially in a war where political considerations dominate.
Libbie Hawker, Daughter of Sand and Stone|Still, if I don't believe in the possibility, I might go mad from fear.
Leigh Bardugo, Six of Crows|Van Eck raised a brow. "How old are you, girl? Sixteen? Seventeen? Nations rise and fall. Markets are made and unmade. When power shifts, someone always suffers.
bell hooks, All About Love: New Visions|All the romantic lore of our culture has told us when we find true love with a partner it will continue. Yet this partnership lasts only if both parties remain committed to being loving. Not everyone can bear the weight of true love. Wounded hearts turn away from love because they do not want to do the work of healing necessary to sustain and nurture love. Many men, especially, often turn away from true love and choose relationships in which they can be emotionally withholding when they feel like it but still receive love from someone else. Ultimately, they choose power over love. To know and keep true love we have to be willing to surrender the will to power.
bell hooks, All About Love: New Visions|We cannot know love if we remain unable to surrender our attachment to power, if any feeling of vulnerability strikes terror in our hearts. Lovelessness torments.
