Peter Ackroyd, The Canterbury Tales: A Retelling|Women, of their nature, crave for liberty; they will not be ordered around like servants.
Caitlin Moran, How to Be a Woman|Becoming a woman felt a bit like becoming famous. For, from being benevolently generally ignored – the base-line existence of most children – a teenage girl is suddenly fascinating to others, and gets bombarded with questions: What size are you? Have you done it yet? Will you have sex with me? Have you got ID? Do you want to try a puff of this? Are you seeing anyone? Have you got protection? What’s your signature style? Can you walk in heels? Who are your heroes? Are you getting a Brazilian? What porn do you like? Do you want to get married? When are you going to have kids? Are you a feminist? Were you just flirting with that man? What do you want to do? WHO ARE YOU?All ridiculous questions to ask of a 13-year-old simply because she now needs a bra. They might as well have been asking my dog. I had absolutely no idea.
Goitsemang Mvula|Many men, One CryOne Woman, a Pleasant Pride.
Tanya R. Liverman, In The Mirror: A Woman's Saga|Using poise is not being fake; it is being professional, strong, and composed.
Tanya R. Liverman, In The Mirror: A Woman's Saga|There is a root to every action, which is really a reaction to what is going on inside of us.
Elizabeth Wurtzel, Bitch: In Praise of Difficult Women|I don't think it's really about being bitchy or demanding or cold or calculating: those characteristics, after all, can be attached to most women with even the paltriest of evidence. I think, quite frankly, that the world simply does not care for the complicated girls, the ones who seem too dark, too deep, too vibrant, too opinionated...
Lillian White, The Mill Owner's Son: Ellen's Story|She was shocked when she followed her aunt and cousin down into the city proper. The streets were crawling with people, all hurrying to and fro, mindless of one another. They brushed by with barely even a glance, stepping down into the busy roads between horse drawn buses and draymen’s carts with such confidence, seemingly oblivious that they could be run down at any moment. Children dodged in and out amongst them, ragamuffins all, some barefoot.
Robin Wasserman, Girls on Fire|They wanted their girls to be safe. To do what they had to do to conform, to defer, to survive, to grow up. They wanted their girls never to grow up. Never to stop burning. They wanted their girls to say fuck it, to see through the lies, to know their own strength. They wanted their girls to believe the things could be different this time, and they wanted it to be true.They wondered, sometimes, if they'd made a mistake. If it was dangerous, taming the wild, stealing away the words a girl might use to name her secret self. They wondered at the consequences of teaching a girl she was weak instead of warning her she was strong. They wondered, if knowing was power, what happened to power that refused to know itself; they wondered what happened that couldn't be satisfied, to pain that couldn't be felt, a rage that couldn't be spoken.
Ursula K. Le Guin, The Wave in the Mind: Talks & Essays on the Writer, the Reader & the Imagination|Making female noises, shrieking and squeaking and being shrill, all those things that annoy people with longer vocal cords. Another case where the length of organs seems to be so important to men.
Germaine Greer, Shakespeare's Wife|Until our own time, history focussed on man the achiever; the higher the achiever the more likely it was that the woman who slept in his bed would be judged unworthy of his company. Her husband's fans recoiled from the notion that she might have made a significant contribution towards his achievement of greatness. The possibility that a wife might have been closer to their idol than they could ever be, understood him better than they ever could, could not be entertained.
Djuna Barnes|She was gracious and yet fading, like an old statue in a garden, that symbolizes the weather through which it has endured, and is not so much the work of man as the work of wind and rain and the herd of the seasons, and though formed in men's image is a figure of doom.
Nina George, The Little Paris Bookshop|[Women] are superior beings to us men. When they love us, then they are being gracious, for only rarely do we give them reason to love us. I learned that from your mother, and she's right. Sad to say, she's right.
Kate Pullinger, Weird Sister|She had that kind of undeniable femininity that few women achieve, bogged down as we are by other things.
Nova Ren Suma|Maybe, long ago, we used to be good. Maybe all little girls are good in the beginning.
Natalie Angier|More often than not, the ideal breast is an invented breast. Decolletage, the tushy breast, is an artifact of clothing. Naked breasts don't dance cheek to cheek--they turn away from each other. Breasts vary in size and shape to an outlandish degree, but they can be whipped into an impressive conformity, and because we are human and we can't leave anything alone, we have whipped away.
