Na'ama Yehuda|When hearts speak, they touch each other and transform the deepest sorrow.
John Green, Paper Towns|You shall no longer take things at second or third hand.... nor look through the eyes of the dead.... nor feed on the spectres in books. I tramp a perpetual journey All goes onward and outward.... and nothing collapses, And to die is different from what any one supposed, and luckier. If no other in the world be aware I sit content, And if each and all be aware I sit content. The final three stanzas of 'Song of Myself" were also highlighted. I bequeath myself to the dirt to grow from the grass I love, If you want me again look for me under your bootsoles. You will hardly know who I am or what I mean, But I shall be good health to your nevertheless, And filter and fibre your blood. Failing to fetch me at first keep encouraged, Missing me one places search another, I stop some where waiting for you It became a weekend of reading, of trying to see her in the fragments of the poem she'd left for me. I could never get anywhere with the lines, but I kepr thinking about them anyway, becase I didn't want to disappoint her. She wanted me to play out with the string, to find the place where she had stopped and was waiting for me, to follow the bread crumb trail until it dead-ended into her.
Gloria D. Gonsalves, I Am Tausi|We should all celebrate the magnitude of diverse and unique souls that live in our world today, for it is an essence that makes our lives colourful every singleday.
Anne-Rae Vasquez, Doubt|There are rules to the game but I don’t believe that we need to be bound by them. If it feels appropriate to follow the rules, then by all means, follow them. If it feels better to break the rules, be creative and do it.
A.J. Shazad|Stop worrying about life, no one survived it.
Sarah Bakewell, How to Live: A Life of Montaigne in One Question and Twenty Attempts at An Answer|He blushed to see other Frenchmen overcome with joy whenever they met a compatriot abroad. The would fall on each other, cluster in a raucous group, and pass whole evenings complaining about the barbarity of the locals. These were the few who actually noticed that locals did things differently. Others managed to travel so ‘covered and wrapped in a taciturn and incommunicative prudence, defending themselves from the contagion of an unknown atmosphere’ that they noticed nothing at all.
Gloria D. Gonsalves, I Am Tausi|Many years ago, I left my home country very narrow minded. Today I return with an educated mind, able to understand why my culture is as it is and still be very proud of it.
Gloria D. Gonsalves, I Am Tausi|I am also open minded to embrace strange notions and respect its bearers without harsh judgement. Exposure has made me feel confident and wiser to choose what feels right for me, in order to be the best human being for myself and others.
SalemIsaac|Dont forget to pray today, because God didn't forget to wake you up this morning.
Gloria D. Gonsalves, I Am Tausi|Life at home is at a pace which allows you to appreciate what it has to offer. Simultaneously you get a chance to reflect on what you wish from it. Our development also goes at the same pace, which is not something that everyone appreciates.
Gloria D. Gonsalves, I Am Tausi|Then I learnt of “white Christmas”, which again I found very peculiar since we always have a white Christmas at home for it never passes by without eating rice. That is our white Christmas.
Gloria D. Gonsalves, I Am Tausi|Drooling over an African figure that I could never have, I feasted my eyes uponthe swaying mounds of my fellow African sisters.
Gloria D. Gonsalves, The Wisdom Huntress: Anthology of Thoughts and Narrations|She is a woman, how can you confuse her for a man?
J.R.R. Tolkien, The Fellowship of the Ring|That's what I meant,' said Pippin. 'We hobbits ought to stick together, and we will. I shall go, unless they chain me up. There must be someone with intelligence in the party.
Jonathan Anthony Burkett, Neglected But Undefeated: The Life Of A Boy Who Never Knew A Mother's Love|Anger makes you smaller, while forgiveness forces you to grow beyond who you were.
W. Somerset Maugham, The Moon and Sixpence|To my mind the most interesting thing in art is the personality of the artist; and if that is singular, I am willing to excuse a thousand faults.
Thomas Amo, Forever ME|We all say and do things we regret, but it’s never to late to change, apologize and become a better person
Robert M. Stroud|Always tell yourself that you are as good as anyone that breathes; that you have two hands and a brain, and a little time in which to use them. But they are enough, and no one has any more. And if you train and force them to serve you well, you can reach any height to which you aspire. But to waste any of them is to betray yourself.
K.A. Mitchell, Bad Company|So does that mean if you won’t fuck me because I’m high, I could fuck you because you’re not?
Virginia Woolf, To the Lighthouse|The house was left; the house was deserted. It was left like a shell on a sandhill to fill with dry salt grains now that life had left it. The long life seemed to have set in; the trifling airs, nibbling, the clammy breaths, fumbling, seemed to have triumphed. ..
Benny Bellamacina, Philosophical Uplifting Quotes and Poems|If you find yourself cutting corners, go in a circle instead
Lawrence Wright, Going Clear: Scientology, Hollywood, and the Prison of Belief|VERY EARLY ONE MORNING in July 1977, the FBI, having been tipped off about Operation Snow White, carried out raids on Scientology offices in Los Angeles and Washington, DC, carting off nearly fifty thousand documents. One of the files was titled “Operation Freakout.” It concerned the treatment of Paulette Cooper, the journalist who had published an exposé of Scientology, The Scandal of Scientology, six years earlier. After having been indicted for perjury and making bomb threats against Scientology, Cooper had gone into a deep depression. She stopped eating. At one point, she weighed just eighty-three pounds. She considered suicide. Finally, she persuaded a doctor to give her sodium pentothal, or “truth serum,” and question her under the anesthesia. The government was sufficiently impressed that the prosecutor dropped the case against her, but her reputation was ruined, she was broke, and her health was uncertain. The day after the FBI raid on the Scientology headquarters, Cooper was flying back from Africa, on assignment for a travel magazine, when she read a story in the International Herald Tribune about the raid. One of the files the federal agents discovered was titled “Operation Freakout.” The goal of the operation was to get Cooper “incarcerated in a mental institution or jail.
