Cassandra Clare|I think that's just a story.""But, Jace," she said. "All stories are true.
David Nicholls, Us|By the time Albie is my age I will be long gone, or, best-case scenario, barricaded into my living module with enough rations to see out my days. But outside, I imagine vast, unregulated factories where workers count themselves lucky to toil through eighteen-hour days for less than a living wage before pulling on their gas masks to fight their way through the unemployed masses who are bartering with the mutated chickens and old tin-cans that they use for currency, those lucky workers returning to tiny, crowded shacks in a vast megalopolis where a tree is never seen, the air is thick with police drones, where car-bomb explosions, typhoons and freak hailstorms are so commonplace as to be barely remarked upon. Meanwhile, in the literally gilded towers above the carcinogenic smog, the privileged 1 per cent of businessmen, celebrities and entrepeneurs look down through bullet-proof windows, accept coktails in strange glasses from the robot waiters hovering nearby and laugh their tinkling laughs and somewhere, down there in that hellish, stewing mess of violence, poverty and desperation, is my son, Albie Petersen, a wandering minstrel with his guitar and his keen interest in photography, still refusing to wear a decent coat.
Lydhia Marie, Reveal|We must seek the truth, not revenge.” -Michelle
Moïra Fowley-Doyle|I think the we all drown, in one way or another.
Melissa Grey, The Girl at Midnight|Dorian's scar itched. It did that when he was agitated, or angry, or experiencing anything one might call emotion. Or when rain was on the horizon, but he didn't think that was entirely relevant to why it was itching now.
Stephanie Meyer|And so the lion fell in love with the lamb." - Edward Cullen, Twilight
Cassandra Clare, City of Bones|It's entirely possible that there are memories you have buried or repressed, memories formed when you were too young to have a conscious recollection of them, that Brother Jeremiah can reach. It could help us a great deal.
M. John Harrison|Every moment of a science fiction story must represent the triumph of writing over worldbuilding.Worldbuilding is dull. Worldbuilding literalises the urge to invent. Worldbuilding gives an unnecessary permission for acts of writing (indeed, for acts of reading). Worldbuilding numbs the reader’s ability to fulfil their part of the bargain, because it believes that it has to do everything around here if anything is going to get done.Above all, worldbuilding is not technically necessary. It is the great clomping foot of nerdism. It is the attempt to exhaustively survey a place that isn’t there. A good writer would never try to do that, even with a place that is there. It isn’t possible, & if it was the results wouldn’t be readable: they would constitute not a book but the biggest library ever built, a hallowed place of dedication & lifelong study. This gives us a clue to the psychological type of the worldbuilder & the worldbuilder’s victim, & makes us very afraid.
Margaret Peterson Haddix, Just Ella|Why did everyone like that story so much when it wasn't true? Why was everyone so eager to believe it? Was it because, in real life, ever after's generally stink?
Ernest Agyemang Yeboah|if you miss what seems so glamorous; if you miss what seems so fantastic to have, don't worry. It may be just a matter of fantasy to have it. Real things are rare but real to have. serendipity and the vicissitudes of life determine what is real, ideal and what is a fantasy. The real future is uncertain to all.
Natasha Rendell, Arthur's Cosmic Heaven|You are more than likely thinking by now that all of this sounds somewhat fanciful, perhaps over the top, all too complicated and even perhaps at times chaotic. It may seem so at first glance, but life here is a complex and intriguing happening, with never a dull moment to be had. And why should it not be so? “Death” as you have named it, is not the end of life. It is to us a birth back here once again to our side, to our true home. So it is a rebirth in a sense.
Byron Fortin|There in the garden I stand amongst the trees and the flowers. Bare back as laid out upon the grassy knoll she awaits there for me now. Atop a bed of lotus blossoms, within a wall of roses and violets held she waits. A light breeze settles in against the angle of my naked continuity, and I am whole as one inside. So she rolls her body round, like some delicate feather blown on the wind, to conceal the gentle back contour and reveal a frontal nudity that would make beauty itself ache with the need, thick within the throes of jealously for having to so unwillingly surrender over the crown. It is in there that you find paradise, and it seems she too knows me by name of a gaze gaping, and notwithstanding but a single care towards the awareness of my steady on-looking fixation. It is the stare sewing in the seeds of an awestruck wonder for what the mystics deemed necessary, and the melody of majesty aligned in plenary ordinance; a precious passing moment of collective cornucopia & blessed union of soul where all planetary constellation come together to marvel around the bringing of such a fair existence about. And what combination was that of the raw material splendour used to create this mould casting gone asunder beyond its one successful flight attempt to seize hold the sky and bottle it, never to be used again? Beholding it is to clasp the all consuming essence of longing in your pass, to wield command over the power of the cosmos with the skilled hands of lovers’ chaste holding. It is that which instills a life, a capture of Elysia off the edge of insanity refined, and that’s brilliance bled out by any design. For only by taking nature in kind and boiling her down to her purest, basic, most sincere level will you be able to build her up, and by a metamorphosis see her change, transform into something off the wings of a butterfly; sign of the worthwhile creature and form of the eternal everlasting entity. To spring forth out the sublime incarnation, a shine of glory set down for all the world to see. She is pure blissful serenity. Plant a seed to watch it grow; nurture it and it will give rise to a field of flowers full. Still none of any other would have compared as saccharine as when I first laid eyes upon the woman found stirring within the perfumed tendrils of Summer’s bloom, beneath the Stars shinning bright. Her beauty is so that I come alive. Consumed by loveliness I am completely at the lady’s mercy, and unable to turn a look away. That is to say, I would not want to.
Anthony  Ryan|You will know him by the blade he carries and the Dark-born skill with which he wields it, for none who know the love of the Father may defeat the Darkblade, yet all must stand against him.
Belinda M. Gordon, Tressa's Treasure's|Do you see the labyrinth out there?" She waved a graceful hand toward the garden. "Life is like that labyrinth, full of pathways that seem like the right way, but end up being detours. We go one way and then another until we find our true path.
Leah Broadby, A Dreadful Daughter's Spells|If we all learnt cat-speak, we would often find they are saying, “You stupid human, I am trying to tell you something important right now!
