Santosh Kalwar|Born to be wild; born to be free; nobody owns you; you are, a romantic tree.
Roman Payne|When I met a truly beautiful girl, I would tell her that if she spent the night with me, I would write a novel or a story about her. This usually worked; and if her name was to be in the title of the story, it almost always worked. Then, later, when we'd passed a night of delicious love-making together, after she’d gone and I’d felt that feeling of happiness mixed with sorrow, I sometimes would write a book or story about her. Sometimes her character, her way about herself, her love-making, it sometimes marked me so heavily that I couldn't go on in life and be happy unless I wrote a book or a story about that woman, the happy and sad memory of that woman. That was the only way to keep her, and to say goodbye to her without her ever leaving.
Charlotte Featherstone, Sinful|She was breathtaking in her beauty and her human spirit, he thought, unable to speak as he gazed upon her. Hers was the sort that would not fade or grow jaded with time and years, but flourish, grow more radiant with life and its experience. Hers was a beauty that no other possessed. A beauty he longed to keep, to hide away, to bask in, himself alone. She had become his. He didn’t know when, whether it had been the moment her fingertips had touched him when he was hurt, or if it had grown, like a seed, slowing spreading until Jane had become the root anchoring the shattered pieces of his heart, pulling them tight together until it resembled the organ it should.
Chloe Neill, Twice Bitten|Some minutes or hours or days later, when I lay boneless and well satisfied, Ethan raised his gaze to mine again. His eyes were silver, his fangs descended. "There is no going back," he said, "Not after this.
Ann Radcliffe|I ought not to doubt the steadiness of your affection. Yet such is the inconsistency of real love, that it is always awake to suspicion, however unreasonable; always requiring new assurances from the object of its interest, and thus it is, that i always feel revived, as by a new convinction, when your words tell me I am dear to you; and wanting these, I relapse into doubt and often into despondency.
Suzanne Brockmann, Out of Control|You love me,” he said. “That’s all I need to know.” “You always say the right thing,” Savannah told him, her eyes so filled with love that he almost wept. “Sometimes it takes you awhile to get to it, but you always get there, and what you say is always worth waiting for.
Rachel Gibson, True Confessions|I feel like I should probably ask you to leave. But I don’t really want you to go. I want you to stay, but I know you shouldn’t.- Hope
Gena Showalter, The Darkest Whisper|I’ve never cheated on a lover. I’m faithful, always. But the war comes before anyone’s feelings. Every time.”Wow. Battle before love. Without a doubt, he was the most unromantic male she’d ever met. Even more so than her great-grandfather, who had laughingly burned her great-grandmother to death after she’d given birth to Gwen’s grandmother.
Penelope Williamson, A Wild Yearning|If I am never to have you again after this night, this moment, you will remain the wife of my soul. Keeper of my heart.
Sylvain Reynard, Gabriel's Rapture|My Dearest Julianne,Thank you for your immeasurable gift.The only thing I have of value is my heart.It’s yours,Gabriel.
Rowena Cherry, Insufficient Mating Material|What in the blue star-blazes did you see in Jason?" he asked, still forcefully but with his frustration and jealousy under better control."For one thing, Djetth, he wasn't trying to kill me!"
Udai Yadla, A Walk in the Rain|Love is elixir that keeps you alive. Love is poison that kills you. Unreciprocated love keeps you alive, but kills every day.
Priya Ardis, Ever My Merlin|I noticed him right away. No, it wasn’t his lean, rugged face. Or the dark waves of shiny hair that hung just a little too long on his forehead. It wasn’t the slim, collarless biker jacket he wore, hugging his lean shoulders. It was the way he stood. The confident way he waited in the cafeteria line to get a slice of pizza. He didn’t saunter. He didn’t amble. He stood at the center, and let the other people buzz around him. His stance was straight and sure.
Anne Campbell|You are the trip I did not take, you are the pearls I could not buy,you are my blue Italian lake, you are my piece of foreign sky.You are my Honolulu moon, you are the book I did not write,you are my heart's unuttered tune, you are a candle in my night.You are the flower beneath the snow, in my dark sky a bit of blue,answering disappointment's blow with "I am happy! I have you!
Aprilynne Pike, Wings|I'll think of you, just like I promised.""And I'll think of you, just like I have every day," Tamani said.
J.D. Robb, Indulgence in Death|What a woman you are,” he murmured, and she heard the emotion in it, theway the Irish thickened just a bit in his voice. And saw it in those vivid eyes when he drew back. “That you would think of this. That you would do this.”He shook his head, kissed her. Like the breath, long and quiet.“I can’t thank you enough. There isn’t enough thanks. I can’t say what this means to me, even to you. I don’t have the words for it.” He took her hands,. You stagger me.”He framed her face now, touched his lips to her brow. “You’re the beat of my heart, the breath in my body, the light in my soul.
Sandy Hyatt-James|The moment you stop chasing happiness, you become happy.
Erin Hunter, Code of the Clans|I wonder if he'll ever see the truth in my own heart: that, whatever Dustpelt says, however much Fireheart breaks the warrior code, I love him more that I could imagine loving any other cat. And if Fireheart knew, would he love me, too?- Sandstorm
Tamora Pierce, Bloodhound|Curse him for being all tight muscle, with ivory skin and a mouth as soft as rose petals. Curse him for having hair as fair as the sun, and eyes as black as night. Curse him for having the grace of a cat and deft, cool hands. And now I am having the same argument on paper that I have in my own head on too many nights. I know my choice is sensible, but it isn't my common sense I think with, those times Rosto's stolen a kiss from me.
Masashi Kishimoto, Naruto, Vol. 21: Pursuit|I'm... I'm so in love with you that I can't even stand it! Sasuke! Stay with me, and I'll never let you regret it! We'll have fun every day, and... And you'll be happy! I'll make sure of it! I'll do anything for you, Sasuke! Just, please... Please, please don't go! I'll even help you take revenge! I mean, I'll manage it somehow, so... So please... Stay with me.
Jessica Verday, The Hollow|Anyway." I cleared my throat loudly. "Thank you again for the beautiful necklace. It's perfect, and I love it. Where did you find it? I've never seen anything like it before."It was his turn to look embarrassed and he ducked his head. "That's because I made it." He peeked up at me, and my heart melted. Am I dreaming? This has to be a dream."You made it?" Something wet hit my cheek and I brushed it away, impatiently waiting for his answer."Yeah," he said shyly. "I did.
Elizabeth Vaughan, Warprize|Want to know the best part of being a warlord?' came a hoarse whisper.I bit my lip, puzzled by the question.Keir’s mouth curled up slowly into a smile. 'I always get what I want.
