Vincent van Gogh, Van Gogh's Starry Night Notebook|For my part I know nothing with any certainty, but the sight of the stars makes me want to dream.
C. JoyBell C.|Living is about capturing the essence of things. I go through my life every day with a vial, a vial wherein can be found precious essential oils of every kind! The priceless, fragrant oils that are the essence of my experiences, my thoughts. I walk inside a different realm from everybody else, in that I am existing in the essence of things; every time there is reason to smile, I hold out my glass vial and capture that drop of oil, that essence, and then I smile. And that is why I have smiled, and so you and I may be smiling at the same time but I am smiling because of that one drop of cherished, treasured oil that I have extracted. When I write, I find no need to memorize an idea, a plot, a sequence of things: no. I must only capture the essence of a feeling or a thought and once I have inhaled that aroma, I know that I have what I need.
Victoria Addino|Don't step backward toward nothing, step forward toward something, better awkward steps forward, than coward steps backward.
Randy Alcorn, Deadline|Am I getting braver, or just getting accustomed to being terrified?
C. JoyBell C.|I looked long and hard for the paper roses! I found the reddest red ribbon, and a little golden card! We were all there together, many of us, in the same place; but I was the only one who found the paper roses, the only one who chose the reddest red ribbon, and the only one who topped off with a golden card. And so I learned that if people are unhappy, it is only because they don't know how to look for the paper roses, they don't see the reddest red ribbon, and they don't like the little golden cards. We are all in the same wrap-shoppe in this life. But we are different. Because some of us are looking for the paper roses, choosing the reddest red ribbon, and picking up the little golden cards.
David Gemmell|We make choices every day, some of them good, some of them bad. And if we are strong enough, we live with the consequences.
Erika Johansen, The Invasion of the Tearling|Anger was the indulgence of a child, not a queen.
Homer, The Odyssey|Take courage, my heart: you have been through worse than this. Be strong, saith my heart; I am a soldier; I have seen worse sights than this.
Ramdhari Singh 'Dinkar', रश्मिरथी|वसुधा का नेता कौन हुआ?भूखंड-विजेता कौन हुआ?अतुलित यश-क्रेता कौन हुआ?नव-धर्म-प्रणेता कौन हुआ?जिसने न कभी आराम किया,विघ्नों में रहकर नाम किया
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|The elimination diet:Remove anger, regret, resentment, guilt, blame, and worry.Then watch your health, and life, improve.
Amy Leigh Mercree|Every single person is sacred. Sacred means special, precious, a treasure of true beauty. That means you.
