Sandra Steffen, Come Summer|I read once that sorrow looks back, worry looks around, and faith looks ahead.
Louise Erdrich, Four Souls|For much of my life I was not acquainted with what may seem the obscure derivation of the adjective 'sincere.' It is from two Latin words, sine, without, and cera, wax. What a rare thing it is to be treated without wax. My desire is always to conduct relationships based upon honest regard. As I sipped the last drops of beef tea I tried to enumerate moments stripped of pretense and all I could come up with was those efforts of mine, with brother-in-law, when he grasped my hand in desperate gratitude, unknowing, and allowed me to really see him. As I relived those moments of extremity, a strange thought met me unawares. Were I not to know him, or someone, some person, at this radical depth, I fear my time on earth would be hideous. I was surprised to think this. But it crossed my mind that to know others on a superficial level only is a desperate hell and life is worth living only if the veneer is stripped away, the polish, the wax, and we see the true grain of the other no matter how far less than perfect, even ugly, even savage at the heart.
Hannah Lillith Assadi, Sonora|I am a memory house for those I have lost, those I no longer know.
Chris Mc Geown|She was the kindOf complicatedThat people got lost in;They all wanted to save her,But all she wantedWas love.
Anonymous|To love a person is to learn the song that is in their heart, and to sing it to them when they have forgotten- the secrets of married women by Carol Mason
L.J. Shen, Ruckus|Because I had to sell it and lost a shit-ton of money the moment I realized you were going to be my neighbor if I stayed in my current place. Real talk, Rosie, you are all I ever wanted. Even when you wanted me to be with your sister. She was a comforting candle. You were the dazzling sun. I’d lived in the dark—for your selfish ass. And if you think I’m going to settle for something, you’re dead wrong. I am taking everything. We will have kids, Rose LeBlanc. We will have a wedding. And we will have joy and vacations and days where we just fuck and days where we just fight and days where we just live. Because this is life, Baby LeBlanc, and I love the fuck out of you, so I’m going to give you the best one there is. Got it?
Donna Goddard, Waldmeer|Your body would not get sick if you held no thought of resentment. It is neither good nor bad of itself. If we hold anything against anyone, we will suffer ourselves.
Mark Brightlife|You are aggressive", says the emotional abusive.
Jeremy Holmes, John Bowlby and Attachment Theory|The ambivalent strategy involves clinging to the care-giver, often with excessive submissiveness, or adopting a role-reversal in which the care-giver is cared for rather than vice versa. Here feelings of anger at the rejection are most conspicuously subjected to defensive exclusion. Although these strategies have the function of maintaining attachment in the face of difficulties, a price has to be paid. The attachment patterns so established are clearly restricted and, if repeated in all relationships, will be maladaptive.
Lance Olsen, Theories of Forgetting|I'll live to be one year younger, because I can't stand the idea of a world without you in it, and die buried beneath an avalanche of my own books.
Jeremy Holmes, John Bowlby and Attachment Theory|A person's attachment status is a fundamental determinant of their relationships, and this is reflected in the way they feel about themselves and others. Neurotic patterns can be seen as originating here because, where core attachments are problematic, they will have a powerful influence on the way someone sees the world and their behaviour. Where there is a secure core state, a person feels good about themselves and their capacity to be effective and pursue their projects. Where the core state is insecure, defensive strategies come into play.
Donna Goddard, Waldmeer|Relationships are used by the darkness to keep people revolving around the ego’s demands. For a moment, people see the light of the divine in each other. They run to it and then quickly forget the light they once saw as their fears reclaim their consciousness. Thus begins the ongoing battle to protect one’s own ‘rights’, in case they be forgotten or betrayed. The tally of what is owed is counted, the guilt of perceived wrong doings is cast upon the other, one’s freedom must be paid as the price for ‘love’, and it is only in short periods of peace when all of this is forgotten. Those moments are the precious windows of the Soul.
