Rasheed Ogunlaru|The mind defines, decides, doubts and divides - only the heart truly binds.
W. Somerset Maugham, The Painted Veil|How strange was the relation between parents and children! When they were small the parents doted on them, passed through agonies of apprehension at each childish ailment, and the children clung to their parents with love and adoration; a few years passed, the children grew up, and persons not of their kin were more important to their happiness than father or mother. Indifference displaced the blind and instinctive love of the past. Their meetings were a source of boredom and irritation. Distracted once at the thought of a month's separation they were able now to look forward with equanimity to being parted for years.
Madeleine L'Engle, A Circle of Quiet|If it's not good enough for adults, it's not good enough for children. If a book that is going to be marketed for children does not interest me, a grownup, then I am dishonoring the children for whom the book is intended, and I am dishonoring books. And words.
Jeffrey Eugenides, The Virgin Suicides|Mr. Lisbon had the feeling that he didn't know who she was, that children were only strangers you agreed to live with.
Colum McCann|She wanted to tell him so much, on the tarmac, the day he left. The world is run by brutal men and the surest proof is their armies. If they ask you to stand still, you should dance. If they ask you to burn the flag, wave it. If they ask you to murder, re-create. Theorem, anti-theorem, corollary, anti-corollary. Underline it twice. It’s all there in the numbers. Listen to your mother. Listen to me, Joshua. Look me in the eyes. I have something to tell you.
Terry Pratchett, Diggers|Yes, but nomes aren’t hard to make,” said Dorcas. “You just need other nomes.” “You’re weird.
Donovan Hohn, Moby-Duck: The True Story of 28,800 Bath Toys Lost at Sea and of the Beachcombers, Oceanographers, Environmentalists, and Fools, Including the Author, Who Went in Search of Them|The imaginary child implied by the toys on exhibit in Hong Kong was impossible to reconcile with my actual child. I didn't think I'd like to meet the imaginary child they implied. That child was mad with contradictions. He was a machine-gun-toting, Chopin-playing psychopath with a sugar high and a short attention span.
Chayada Welljaipet, The Adventures of Luciana|Oh no, princess. I would never carry out anything which could harm your being. This was just something I was told to say. I'm not sure what is planned, if, you go against their wishes. But, I'm sure you're smart and won't test them.
Jane Austen, Mansfield Park|Children of the same family, the same blood, with the same first associations and habits, have some means of enjoyment in theirpower, which no subsequent connections can supply..
Deborah Heiligman|There were still few rules at Down House, and Charles was not very good at enforcing the ones he and Emma did make. This was well known among his children. In 1855, when Lenny was about five, Charles walked in to find his son jumping up and down and tumbling all over a new sofa.'Oh Lenny, Lenny,' Charles said. 'You know it is against all rules.''Then,' Lenny said to his papa, 'I think you'd better go out of the room.'And so Charles did.
Mark Z. Danielewski|the seriousness of emotional deprivation:It is not difficult to understand how children who have suffered from malnutrition or starvation need food and plenty of care in their bodies are to recover so they can go on to lead normal lives. If, however, the starvation is severe enough, the damage will be permanent and they will suffer physical impairments for the rest of their lives. Likewise, children who are deprived of emotional nurturing require care and love if their sense of security and self-confidence is to be restored. However, if love is minimal and abuse high, the damage will be permanent and the children will suffer emotional impairments for the rest of their lives.
William Faulkner, Light in August|Though children can accept adults as adults, adults can never accept children as anything but adults too.
